Exam Number,Full Name,Students,Length (h)
DUMF5003_1,"Climate, Carbon and Change",11,2
ECON2001_1,Economics 2A,214,2
ENG1007_1,Applied Mechanics 1,230,2
ENG1021_1,Electronic Engineering 1X,104,2
ENG2020_1,Digital Electronics 2,58,2
ENG2023_1,Electrical Circuits 2,102,2
ENG2024_1,Electrical Power Engineering 2,143,2
ENG2028_1,Elem of Thermo for Aero Prop 2,102,2
ENG2037_1,Introduction to Aerodynamics 2,101,2
ENG2048_1,Structural Design 2,61,2
ENG3013_1,Civil Eng Administration 3,58,2
ENG3025_1,Electronic Devices 3,45,2
ENG3029_1,Engineering Mathematics EE3,64,2
ENG3046_1,Structural Design 3,51,2
ENG4025_1,Applied Eng Mechanics 4,92,2
ENG4037_1,Computational Fluid Dynamics 4,53,2
ENG4052_1,Digital Communication 4,18,2
ENG4102_1,Physics of Fluids 4,70,2
ENG4121_1,Space Flight Dynamics 4,39,2
ENG4138_1,VLSI Design 4,28,2
ENG4173_1,Renewable Energy 4,74,2
ENG5047_1,Intro to Comp Fluid Dynamics,4,2
ENG5082_1,Spaceflight Dynamics 1,8,2
ENG5091_1,Viscous Shear Flows,4,2
ENG5092_1,VLSI Design and CAD,11,2
ENGLANG5001_1,Approaches to Med & Ren Studs,4,2
ENGLANG5002_1,Approaches to Medieval Studies,3,2
ENGLANG5003_1,Approaches to Renaissance Stud,1,2
ENGLIT2001_1,Eng Lit 2a:Writing & Ideology,308,2
ESH2001_1,ESH 2A,56,2
LATIN1001_1,Latin 1A,32,2
LATIN4003_1,Basic Latin for Honours 1,2,2
LATIN5003_1,Basic Latin for Postgrads 1,1,2
LAW2007_1,Jurisprudence,232,2
LAW2009_1,Labour Law,109,2
LAW2010_1,Law and Government,241,2
MATHS1004_1,Maths 1X,73,2
MED5171_1,Principles of Pharmacology,33,2
MGT5028_1,Financial Information Mgmt,179,2
MGT5182_1,Intl Strategic Mgmt,175,2
NURSING2005_1,Integrated Biomed & Life Sci 2,38,2
NURSING3024_1,Nursing 3,11,2
NURSING3025_1,Nursing 3H,35,2
PHIL1001_1,Philosophy 1K,396,2
PHIL2002_1,Philosophy 2M,163,2
POLITIC1001_1,Politics 1A: Intro to Lib Demo,412,2
POLITIC2001_1,Politics 2A: History of Pol,215,2
PSYCH1001_1,Psych 1A: Biolog/Experim,547,2
SCOTLIT2001_1,Scottish Literature 2A,42,2
SLAV2001_1,Slavonic Studies 2A,11,2
URBAN2015_1,Public Policy 2A: Ideology,49,2
URBAN4002_1,Education for Citizenship,36,3
URBAN4005_1,Policy Analysis & Evaluation,31,3
MED5030_1,Laboratory Techniques in For,10,3
PHYS3008_1,Physics 3:  Class Test,22,3
PHYS3011_1,Physics 3: Class Test,26,3
PHYS3021_1,Physics 3: Class Test,31,3
PHYS3037_1,Physics 3: Class Test,30,3
PHYS4003_1,Physics 3: Class Test,64,3
PHYS4004_1,Physics 3: Class Test,105,3
PHYS4011_1,Physics 3: Class Test,87,3
PHYS4031_1,Physics 3: Class Test,87,3
FRENCH4078_1,French Cultural Studies,23,2.5
MGT4015_1,Professional Practice 4,31,1.5
ENG4088_1,Laser & Electro_Optic Systs M4,44,2
ENG5049_1,Lasers,8,2
LAW2031P_1,ADVANCED INTERNATIONAL LAW,31,2
VETMED1005_2,VET ANATOMY 1_PRACT_CLASS EXAM,133,3
VETMED2004_2,VET ANATOMY 2 PRACT CLASS EXAM,132,3.5
VETMED3007_2,VET PARASITOLOGY (BVMS3)_PRACT,129,3
VETMED3008_2,VET PATHOLOGY (BVMS 3) PRACT_C,130,2
BIOL1004_1,Environmental Sci 1 Class Exam,146,1
BIOL1005_1,Environmental Science 1 (Half),5,1
COMPSCI1002_1,Computing Science 1Q class tst,163,1
DUMF1008_1,Introduction to Global Envir,35,1
ECON5019_1,Macroeconomics,40,1
ECON5020_1,Mathematical Finance,90,1
ECON5027_1,Portfolio Analysis/Investment,198,1
MGT1001_1,Business & Management 1A,478,1
PSYCH2010_2,Psych 2A Paper 2,226,1
PSYCH4012_1,Psy 4H Single:Social Cognition,118,1
PSYCH4035_1,Psy 4H Single: Psych of Will,96,1
STATS4060_1,Probability Class Test,56,1
STATS5024_1,Probability Class Test,26,1
STATS5025_1,Regression Models Class Test,3,1
STATS5028_1,Stat Inference Class Test,24,1
THEATRE1001_1,Theatre Studies 1:  Reading,134,1
BIOL2012_1,Forensic Bioscience 2 (2a),125,1.5
BIOL2015_1,Immunology 2 (13a),316,1.5
CEES1015_1,CEES 1A,131,1.5
COMPSCI1001_1,Computing Science 1P Class Tst,175,1.5
COMPSCI2002_1,CS2Q:Comp Fundamentals 2,2,1.5
COMPSCI2005_1,CS2T:Computer Systems 2,122,1.5
DUMF1040_1,Hist 1A Scotland's Millennium,16,1.5
EARTH1001_1,Earth Science 1X: Introd,129,1.5
ENG1033_1,Materials M1,159,1.5
ENG2038_1,Intro to Eng Materials 2,71,1.5
GEOG2001_1,Geography 2,93,1.5
HIST1008_1,Hist 1A Scotland's Millennium,374,1.5
LAW1005_2,POPO _ Delict,11,1.5
LAW1021_1,Obligations 1A,246,1.5
LAW2011_1,Property Law,234,1.5
LAW5012_1,Conveyancing (DLP),158,1.5
MATHS2001_1,Maths 2A,405,1.5
STATS2002_1,Statistics 2R,92,1.5
STATS2003_1,Statistics 2S,90,1.5
ADED1006E_1,Ancient Egyptian Texts 1A,18,1.5
CLASSIC1001_1,Classical Civilisation 1A,135,1.5
THEATRE2001_1,Thtre St 2:Clsscal To Mdrn,60,1.5
